Arctopsyche sp. AA,AAアミメシマトビケラ
Volobilis chloropterella,カバイロマダラメイガ
Sacium brevicorne,カバイロミジンムシ
Eupsilia boursini,カバイロミツボシキリガ
Hupodonta corticalis,カバイロモクメシャチホコ
Hypocarea conspicua,カバイロリンガ
Colotois pennaria ussuriensis,カバエダシャク
Euodynerus dantici violaceipennis,カバオビドロバチ本土亜種
Euodynerus dantici nigrescens,カバオビドロバチ琉球亜種
Urozelotes rusticus,カバキケムリグモ
Chiracanthium japonicum,カバキコマチグモ
Orthosia evanida,カバキリガ
Neritina pulligera,カバクチカノコガイ
Cheilosia brunnipilosa,カバケクロハナアブ
Rhagonycha kabakovi,カバコフクロヒメジョウカイ
Sebastosema bubonaria,カバシタムクゲエダシャク
Xenochroa internifusca,カバシタリンガ
Archiearis parthenias,カバシャク
Sineugraphe exusta,カバスジヤガ
Ariadne ariadne pallidior,カバタテハ
Nanivitrea sp.,カハタレカワザンショウガイ
Psallus falleni,カバノキトビカスミカメ
Syneta adamsi,カバノキハムシ
Aradus betulae,カバヒラタカメムシ
Catocala mirifica,カバフキシタバ
Episparis okinawensis,カバフキリバ
Mythimna salebrosa,カバフクロテンキヨトウ
Quasinarosa corusca,カバフシロイラガ
Mecodina cineracea,カバフヒメクチバ
Danaus chrysippus chrysippus,カバマダラ
Anapamea cuneatoides,カバマダラヨトウ
Garrulax canorus,ガビチョウ
Brassica rapa var.rapa,カブ
Eugnathogobius mindora,カブキハゼ
Carex cespitosa,カブスゲ
Ophiopogon japonicus var.caespitosus,カブダチジャノヒゲ
Ectoplana limuli,カブトガニウズムシ
Parabolitophagus felix,カブトゴミムシダマシ
Loboscelidia maai,カブトバチ
Vidalia armifrons,カブトハマダラミバエ
Daphnia galeata,カブトミジンコ
Trypoxylus dichotomus septentrionalis,カブトムシ
Athalia rosae ruficornis,カブラハバチ
Agrotis segetum,カブラヤガ
Stasina japonica,カブラヤグモ
Lymantor kabei,カベアトマルキクイムシ
Parietaria judaica,カベイラクサ
Bactrocera depressus,カボチャミバエ
Typha latifolia,ガマ
Coridromius chinensis,ガマカスミカメ
Asiopodabrus falciformis,カマガタクビボソジョウカイ
Brachionus falcatus,カマガタツボワムシ
Kamaka kuthae,カマカヨコエビ
Telmatophilus orientalis,ガマキスイ
Rheopresbe kazika,カマキリ
Thaumaglossa rufocapillata,カマキリタマゴカツオブシムシ
Jassa falcata,カマキリヨコエビ
Autographa gamma,ガマキンウワバ
Heterocoelia kamakurensis,カマクラアリガタバチ
Adota madida,カマクラウシオヒメハネカクシ
Bryaxis kamakura,カマクラオノヒゲアリヅカムシ
Tiphia kamakurae,カマクラコツチバチ
Baryphymula kamakuraensis,カマクラヌカグモ
Thelcticopis severa,カマスグモ
Cheilio inermis,カマスベラ
Viburnum dilatatum,ガマズミ
Trachyaphthona obscura,ガマズミトビハムシ
Bittacus sp.,カマタリヒメガガンボモドキ
Pseudogobio esocinus,カマツカ
Pourthiaea villosa var.laevis,カマツカ
Pseudogobio esocinus complex,カマツカ類
Atachycines apicalis apicalis,カマドウマ
Gryllodes sigillatus,カマドコオロギ
Kurasawatrechus kawaguchii,カマナシメクラチビゴミムシ
Moolgarda pedaraki,カマヒレボラ
Oxyurichthys cornutus,カマヒレマツゲハゼ
Anteon jurineanum,カマブトカマバチ
Macrochthonia fervens,カマフリンガ
Amiota falcilis,カマメマトイ
Thesium refractum,カマヤリソウ
Capsula aerata,ガマヨトウ
Coelotes yaginumai,カミガタヤチグモ
Asplenium oligophlebium,カミガモシダ
Cyperus papyrus,カミガヤツリ
Carex sabynensis,カミカワスゲ
Asiopodabrus kamikochianus kamikochianus,カミコウチクビボソジョウカイ
Asiopodabrus kamikochianus kanagawaensis,カミコウチクビボソジョウカイ東日本亜種
Trichotichnus silvestris,カミコウチツヤゴモクムシ
Quedius marginipennis,カミコウチツヤムネハネカクシ
Mycetina kamikochiana,カミコウチテントウダマシ
Bembidion kamikochii,カミコウチミズギワゴミムシ
Brachymeria kamijoi,カミジョウクロアシブトコバチ
Cylichnatys yamakawai,カミスジカイコガイダマシ
Trechiama cornutus longior,カミゼキメクラチビゴミムシ
Chelydra serpentina,カミツキガメ
Matricaria chamomilla,カミツレ
Anthemis cotula,カミツレモドキ
Altica aenea,カミナリハムシ
Stethojulis interrupta terina,カミナリベラ
Kamimuria tibialis,カミムラカワゲラ
Philonthus kamimurai,カミムラコガシラハネカクシ
Apogonia kamiyai,カミヤカンショコガネ
Haliplus kamiyai,カミヤコガシラミズムシ
Miarus kamiyai,カミヤコバンゾウムシ
Diocalandra kamiyai,カミヤササコクゾウムシ
Onthophilus kamiyai,カミヤセスジエンマムシ
Archarius kamiyai,カミヤチビシギゾウムシ
Sericania kamiyai,カミヤチャイロコガネ
Tetrapanax papyrifer,カミヤツデ
Orchestes kamiyai,カミヤノミゾウムシ
Maladera kamiyai,カミヤビロウドコガネ
Septaria cumingiana,カミングフネアマガイ
Eusphalerum kamui,カムイハナムグリヨツメハネカクシ
Hydrophilus acuminatus,ガムシ
Quedius kamchaticus,カムチャツカツヤムネハネカクシ
Ecclisomyia kamtshatica,カムチャッカトビケラ
Gasteroclisus auriculatus,カムチャホソゾウムシ
Agroeca kamurai,カムラタンボグモ
Cirrodrilus cirratus,カムリザリガニミミズ
Daphnia cucullata,カムリハリナガミジンコ
Channa argus,カムルチー
Ampedus kamuro,カムロアカコメツキ
Paloniella parallela,カムロダルマカメムシ
Eupithecia detritata,カメダカバナミシャク
Keratella cochlearis,カメノコウワムシ
Uncifer discrepans,カメノコチビヒゲナガゾウムシ
Cyparium mikado,カメノコデオキノコムシ
Aiolocaria hexaspilota,カメノコテントウ
Cassida nebulosa,カメノコハムシ
Palaeagapetus ovatus,カメノコヒメトビケラ
Capitulum mitella,カメノテ
Isodon umbrosus var.leucanthus,カメバヒキオコシ
Parabdella quadrioculata,カメビル
Coelotes personatus,カメンヤチグモ
Lottia dorsuosa,カモガイ
Dactylis glomerata,カモガヤ
Capricornis crispus,カモシカ
Sarcophaga antilope,カモシカニクバエ
Elymus tsukushiensis var.transiens,カモジグサ
Delphacodes agropyri,カモジグサウンカ
Mecistoscelis scirtetoides,カモドキカスミカメ
Ischaemum aristatum var.crassipes,カモノハシ
Bothriochloa ischaemum,カモノハシガヤ
Meiacanthus kamoharai,カモハラギンポ
Ceraclea kamonis,カモヒゲナガトビケラ
Larus canus,カモメ
Martesia striata,カモメガイモドキ
Galearis cyclochila,カモメラン
Potthastia longimanus,カモヤマユスリカ
Torreya nucifera var.nucifera,カヤ
Yanunka miscanthi,カヤウンカ
Pseudorhynchus japonicus,カヤキリ
Pyrgocorypha subulata,カヤキリモドキ
Prunella rubida,カヤクグリ
Euscyrtus japonicus,カヤコオロギ
Cyperus microiria,カヤツリグサ
Carex bohemica,カヤツリスゲ
Sarcophaga kayaensis,カヤニクバエ
Micromys minutus,カヤネズミ
Micromys minutus,カヤネズミ
Natula pallidula,カヤヒバリ
Thrixspermum japonicum,カヤラン
Turdus hortulorum,カラアカハラ
Elaeagnus umbellata var.coreana,カラアキグミ
Fallopia forbesii,カライタドリ
Sanguisorba hakusanensis,カライトソウ
Elops hawaiensis,カライワシ
Araneus tsurusakii,カラオニグモ
Nehalennia speciosa,カラカネイトトンボ
Oedemutes hirashimai hirashimai,カラカネオオキマワリモドキ
Oedemutes hirashimai inadai,カラカネオオキマワリモドキ伊良部島亜種
Stenus mercator,カラカネカワベメダカハネカクシ
Toxoscelus sasakii,カラカネクリタマムシ
Peronomerus fumatus,カラカネケブカゴミムシ
Platymetopus flavilabris,カラカネゴモクムシ
Tetragonomenes palpaloides,カラカネチビキマワリモドキ
Nalanda ohbayashii,カラカネチビナカボソタマムシ
Platydracus sharpi,カラカネトガリオオズハネカクシ
Cordulia amurensis,カラカネトンボ
Coraebus ignotus ignotus,カラカネナカボソタマムシ
Coraebus ignotus shibatai,カラカネナカボソタマムシ奄美亜種
Coraebus ignotus okinawanus,カラカネナカボソタマムシ沖縄亜種
Coraebus ignotus mastudai,カラカネナカボソタマムシ屋久島亜種
Gaurotes doris doris,カラカネハナカミキリ
Gaurotes doris suvorovi,カラカネハナカミキリ極東亜種
Hypocaccus lewisii,カラカネハマベエンマムシ
Schizomma kondoi,カラカネヒゲブトゴミムシダマシ
Plesiophthalmus puncticollis,カラカネヒメキマワリ
Habroloma nixillum insulicola,カラカネヒラタチビタマムシ奄美亜種
Domene stilicoides,カラカネマルズハネカクシ
Karana hoenei inornata,カラカネヨトウ奄美大島・沖縄本島亜種
Karana hoenei hoenei,カラカネヨトウ本土亜種
Theridiosoma epeiroides,カラカラグモ
Athyrium clivicola,カラクサイヌワラビ
Polystichum microchlamys,カラクサイノデ
Fumaria officinalis,カラクサケマン
Fredericella sultana,カラクサコケムシ
Pleurosoriopsis makinoi,カラクサシダ
Thymophylla tenuiloba,カラクサシュンギク
Lepidium didymum,カラクサナズナ
Typopsilopa chinensis,カラクニヌバタマミギワバエ
Tasa davidi,カラクニハエトリ
Acer tataricum ssp.aidzuense,カラコギカエデ
Pardosa hedini,カラコモリグモ
Agonum karasawai,カラサワヒラタゴミムシ
Stenolophus karasawai,カラサワマメゴモクムシ
Homotechnes motschulskyi karasawa,カラサワミヤマヒサゴコメツキ
Brassica juncea,カラシナ
Egretta eulophotes,カラシラサギ
Papilio dehaanii tokaraensis,カラスアゲハトカラ亜種
Papilio dehaanii amamiensis,カラスアゲハ奄美亜種
Papilio dehaanii hachijonis,カラスアゲハ八丈島亜種
Papilio dehaanii dehaanii,カラスアゲハ本土亜種
Trichosanthes cucumeroides,カラスウリ
Cristaria plicata,カラスガイ
Apolygus ater,カラスカスミカメ
Philinopsis cyanea,カラスキセワタ
Heterosmilax japonica,カラスキバサンキライ
Cyclosa atrata,カラスゴミグモ
Zanthoxylum ailanthoides var.ailanthoides,カラスザンショウ
Daphne miyabeana,カラスシキミ
Fixsenia w-album fentoni,カラスシジミ
Haporhynchites cornix,カラスチョッキリ
Deraeocoris sp.,カラスツヤカスミカメ
Eupithecia caliginea,カラスナミシャク
Hilaira herniosa,カラスヌカグモ
Corchoropsis crenata,カラスノゴマ
Bromus secalinus,カラスノチャヒキ
Modiolus elongatus,カラスノマクラガイ
Rhene atrata,カラスハエトリ
Columba janthina,カラスバト
Pinellia ternata,カラスビシャク
Hebius pryeri,ガラスヒバァ
Avena fatua,カラスムギ
Chlorogomphus brunneus brunneus,カラスヤンマ
Amphipyra livida corvina,カラスヨトウ
Rhodeus notatus complex,カラゼニタナゴ類
Citrus trifoliata,カラタチ
Ardisia crispa var.crispa,カラタチバナ
Acipenser sinensis,カラチョウザメ
Culex bitaeniorhynchus,カラツイエカ
Erigone koratsensis,カラツヒザグモ
Bryaxis karate,カラテオノヒゲアリヅカムシ
Passaloecus koreanus,カラトイスカバチ
Misgurnus dabryanus,カラドジョウ
Odontobutis potamophila,カラドンコ
Calanoida(copepodid),カラヌス目(幼体)
Humulus lupulus var.cordifolius,カラハナソウ
Tringa guttifer,カラフトアオアシシギ
Nephrotoma aculeata,カラフトアオホソガガンボ
Hybomitra tarandina,カラフトアカアブ
Apodemus peninsulae giliacus,カラフトアカネズミ
Apodemus peninsulae giliacus,カラフトアカネズミ
Epilobium ciliatum ssp.ciliatum,カラフトアカバナ
Saussurea sachalinensis,カラフトアザミ
Habrosyne intermedia,カラフトアヤトガリバ
Ledum palustre ssp.diversipilosum var.diversipilosum,カラフトイソツツジ
Poa macrocalyx,カラフトイチゴツナギ
Coenagrion hylas,カラフトイトトンボ
Rosa amblyotis,カラフトイバラ
Comibaena ingrata,カラフトウスアオシャク
Oxyptila sakhalinensis,カラフトオチバカニグモ
Nemoura sachalinensis,カラフトオナシカワゲラ
Eriophora sachalinensis,カラフトオニグモ
Thanatophilus lapponicus,カラフトオニヒラタシデムシ
Capsus pilifer,カラフトカスミカメ
Decticus verrucivorus,カラフトギス
Camponotus sachalinensis,カラフトクロオオアリ
Anoplius sachalinensis,カラフトクロクモバチ
Silometopus sachalinensis,カラフトコサラグモ
Panthea coenobita,カラフトゴマケンモン
Semblis phalaenoides,カラフトゴマフトビケラ
Trochosa terricola,カラフトコモリグモ
Abia sachalinensis,カラフトコンボウハバチ
Coelambus impressopunctatus,カラフトシマケシゲンゴロウ
Hyppa rectilinea,カラフトシロスジヨトウ
Asthena sachalinensis,カラフトシロナミシャク
Thymelicus lineola,カラフトセセリ
Geum macrophyllum var.sachalinense,カラフトダイコンソウ
Carterocephalus sylvicola,カラフトタカネキマダラセセリ
Sericania sachalinensis,カラフトチャイロコガネ
Glyceria lithuanica,カラフトドジョウツナギ
Brachyta sachalinensis,カラフトトホシハナカミキリ
Hydroporus saghaliensis,カラフトナガケシゲンゴロウ
Conioselinum kamtschaticum,カラフトニンジン
Polemonium caeruleum ssp.laxiflorum var.laxiflorum,カラフトハナシノブ
Juncus articulatus,カラフトハナビゼキショウ
Monochamus saltuarius,カラフトヒゲナガカミキリ
Chrysotoxum fasciolatum,カラフトヒゲナガハナアブ
